collected_at,sido,hpid,dutyName,hvidate,dutyTel3,hv10,hv11,hv17,hv26,hv28,hv29,hv30,hv31,hv36,hv41,hv42,hv43,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvicc,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs08,hvs17,hvs19,hvs22,hvs25,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs36,hvs37,hvs38,hvs50,hvs58,hvventiayn,hvventisoayn,phpid,rnum,hv13,hv2,hv3,hv35,hv40,hv9,hvs06,hvs07,hvs14,hvs18,hvs24,hvs46,hv14,hv18,hvs47,hvs51,hv34,hvs15,hv6,hvs12,hv15,hv16,hv22,hv23,hv25,hv32,hv33,hv37,hvcc,hvccc,hvs09,hvs10,hvs11,hvs16,hvs20,hvs48,hvs49,hvs54,hvs55,hvs57,hv19,hvs52,hv27,hvs59,hv60,hv61,hvs60,hvs61,hv38,hv39,hvs21,hvs23
2026-09-22 14:58:56,서울특별시,A1100036,부민병원,20260922145527,1577-7582,,Y,,,,1,,,,0,Y,,Y,Y,Y,Y,Y,Y,10,Y,54,N1,1,Y,Y,,3,N1,10,,1,,,,14,,8,3,1,3,3,1,22,,1,2,1,,,,282,,,Y,N1,A1100036,32,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100051,혜민병원,20260922145038,02-2049-9000,,,,,,0,,,,,,,Y,,Y,N1,Y,Y,8,N1,30,N1,15,N1,Y,,5,N1,9,,1,,,,19,,5,,,2,2,,16,,,2,,,,,205,,,Y,N1,A1100051,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100026,구로성심병원,20260922145336,02-2067-1500,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,5,N1,52,N1,0,N1,Y,,0,N1,9,,,1,,,11,,3,,,1,1,,5,,,,,,,,191,,,Y,N1,A1100026,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100049,희명병원,20260922145520,02-804-0002,,,,,,,1,,,,,,Y,,Y,N1,Y,Y,4,Y,121,N1,5,N1,Y,,3,N1,10,,,1,,,19,,4,,,1,1,,9,,,1,1,,,,228,,,Y,N1,A1100049,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100027,한국원자력의학원원자력병원,20260922145129,02-970-2114,,Y,,,,1,1,,,1,Y,,Y,Y,Y,Y,Y,Y,5,N1,231,N1,7,Y,Y,,5,N1,9,,1,1,,,10,,10,1,1,4,2,1,16,,2,1,,,,,444,,,Y,N1,A1100027,36,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100022,서울특별시동부병원,20260922145520,02-920-9114,,Y,,,,1,1,,,,Y,,Y,,Y,N1,Y,Y,7,N1,33,N1,4,Y,Y,,2,N1,8,,1,1,,,8,,3,,1,1,1,,7,,1,1,,,,,195,,,Y,N1,A1100022,37,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100050,서울성심병원,20260922145307,02-966-1616,,,,,,1,0,,,,,,Y,,Y,N1,N1,Y,17,N1,87,N1,6,N1,Y,,4,N1,17,,1,2,,,10,,6,,,1,1,,11,,,,,,,,208,,,Y,N1,A1100050,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100025,의료법인동신의료재단동신병원,20260922145440,02-396-9161,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,8,N1,52,N1,3,N1,Y,,2,N1,9,,,1,,,9,,3,,,1,1,,7,,,,,,,,196,,,Y,N1,A1100025,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1122033,기쁨병원,20260922145515,02-570-1234,,,,,,,1,,,,,,Y,Y,Y,Y,N1,Y,3,N1,47,N1,,N1,Y,,5,N1,4,,,1,,,,,8,,,1,1,1,1,,,,,,,,110,,,Y,N1,A1122033,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100039,경찰병원,20260922145502,02-3400-1114,,,,,,1,,,,2,,,Y,,Y,N1,Y,Y,3,N1,135,N1,13,N1,Y,,5,N1,3,,1,,,,14,,7,2,,2,3,,10,,,2,,,,,187,,,Y,N1,A1100039,41,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
